playerID,career_w,career_l,career_g,career_gs,career_cg,career_sho,career_sv,career_ipouts,career_h,career_er,career_hr_a,career_bb,career_so,seasons,debut_year,last_year,career_ip,peak_ip,peak_gs,peak_g,peak_sv,peak_so,peak_bb,peak_hr_a,peak_er,peak_h,peak_w,peak_l,peak_war,peak_year,peak_year_display,mean_sp_dedication,total_seasons_in_peak,career_war,role,nameFirst,nameLast,bbrefID,full_name,era_label,norm_era,h9_raw,k9_raw,bb9_raw,hr9_raw,ip_per_year_raw,h9_val,k9_val,bb9_val,hr9_val,sta_val,raw_ovr,ovr,rarity,str_val,ctl_val,mov_val,grt_val
odombl01,84,85,295,229,40,15,1,4527,1362,620,103.0,788,857,13,1964,1976,1509.0,657.0,93,95,0,379,297,34.0,192,522,46,22,7.66,1969,1968,0.9788306451612904,3,-1.1399999999999997,SP,Blue Moon,Odom,odombl01,Blue Moon Odom,Expansion (1961-1976),Expansion (1961-1976),7.465577596266045,5.263710618436407,3.865810968494749,0.5670945157526255,219.0,83.0,40.3,21.1,86.5,90.3,64.24000000000001,78.2,Rare,40.3,21.1,86.5,83.0
odonojo01,39,55,257,96,13,4,10,2253,780,340,78.0,260,377,9,1963,1971,751.0,308.66666666666663,30,120,8,178,93,28.0,116,287,16,19,4.4799999999999995,1966,1969,0.3071338383838384,3,3.1999999999999997,SP,John,O'Donoghue,o'donjo02,John O'Donoghue,Expansion (1961-1976),Expansion (1961-1976),8.420052424639582,5.3119266055045875,2.9036697247706424,0.8492791612057669,102.88888888888887,40.0,41.5,64.1,40.1,49.2,46.980000000000004,59.6,Common,41.5,64.1,40.1,40.0
odorija01,74,69,241,237,0,0,1,3760,1137,555,171.0,427,1172,11,2012,2022,1253.3333333333333,516.0,91,91,0,494,153,63.0,202,458,34,22,10.24,2016,2019,1.0,3,13.33,SP,Jake,Odorizzi,odorija01,Jake Odorizzi,Modern Era (2016-Pres),Modern Era (2016-Pres),8.131284916201118,7.74581005586592,2.8170391061452515,1.0432960893854748,172.0,47.6,66.6,66.1,30.9,76.8,57.6,71.6,Rare,66.6,66.1,30.9,47.6
oeschjo01,82,116,365,197,99,18,8,5454,1936,770,61.0,651,535,12,1914,1925,1818.0,860.0,96,126,1,271,268,28.0,312,838,50,41,8.19,1919,1921,0.7621226980494716,3,7.06,SP,Joe,Oeschger,oeschjo01,Joe Oeschger,Deadball (1901-1919),Deadball (1901-1919),8.718867924528302,3.3386792452830187,2.879245283018868,0.4075471698113207,286.6666666666667,28.6,14.6,53.1,47.4,105.3,49.800000000000004,62.2,Uncommon,14.6,53.1,47.4,28.6
oflaher01,23,15,496,0,0,0,1,1249,407,171,28.0,153,318,12,2006,2017,416.3333333333333,175.0,0,198,0,149,58,7.0,31,143,8,6,5.59,2011,2011,0.0,3,2.51,RP,Eric,O'Flaherty,oflaher01,Eric O'Flaherty,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.965333333333334,6.509333333333333,3.098666666666667,0.6479999999999999,58.333333333333336,63.2,51.2,55.3,82.5,29.2,56.28,70.3,Rare,51.2,55.3,82.5,63.2
ogandal01,33,19,284,48,1,1,4,1513,442,196,53.0,186,408,8,2010,2018,504.3333333333333,276.66666666666663,30,133,3,231,76,27.0,96,229,19,9,6.99,2013,2011,0.3175750834260289,3,9.21,RP,Alexi,Ogando,ogandal01,Alexi Ogando,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.890209790209791,6.6692307692307695,2.777622377622378,0.8874125874125874,92.22222222222221,66.6,54.7,69.7,46.5,44.9,56.480000000000004,70.5,Rare,54.7,69.7,46.5,66.6
ogdencu01,18,19,93,38,19,4,0,1133,378,159,13.0,186,88,5,1922,1926,377.6666666666667,193.0,23,36,0,47,91,8.0,63,156,10,12,7.340000000000001,1924,1924,0.5333333333333333,3,7.080000000000001,RP,Curly,Ogden,ogdencu01,Curly Ogden,Golden Era (1920-1941),Golden Era (1920-1941),7.89821882951654,3.875318066157761,3.712468193384224,0.6412213740458015,64.33333333333333,85.9,30.9,24.0,48.7,32.2,44.34,58.8,Common,30.9,24.0,48.7,85.9
ogdenja01,25,34,123,57,29,2,3,1586,570,249,39.0,181,144,5,1918,1932,528.6666666666666,463.0,54,94,3,123,156,34.0,213,490,23,32,5.08,1929,1928,0.5455483628858242,3,4.51,RP,Jack,Ogden,ogdenja01,Jack Ogden,Golden Era (1920-1941),Golden Era (1920-1941),9.215686274509803,3.3288084464555054,3.0829562594268474,0.7330316742081449,154.33333333333334,30.2,14.0,52.8,30.0,69.7,39.34,57.3,Common,14.0,52.8,30.0,30.2
ogeach01,37,35,129,94,3,1,0,1898,672,343,93.0,214,369,6,1994,1999,632.6666666666666,379.3333333333333,56,70,0,238,118,46.0,184,385,26,18,5.59,1996,1995,0.8080459770114943,3,5.64,SP,Chad,Ogea,ogeach01,Chad Ogea,Steroid Era (1994-2005),Steroid Era (1994-2005),8.915420023014962,5.596087456846951,2.937859608745685,1.0253164556962027,126.44444444444444,28.3,37.9,66.0,31.1,58.6,44.38,58.8,Common,37.9,66.0,31.1,28.3
ohkato01,51,68,202,178,5,1,0,3210,1182,506,140.0,302,590,10,1999,2009,1070.0,461.0,77,79,0,276,116,50.0,184,497,26,26,8.93,2003,2002,0.9639423076923078,3,14.65,SP,Tomo,Ohka,ohkato01,Tomo Ohka,Steroid Era (1994-2005),Steroid Era (1994-2005),9.338880484114977,5.4220877458396375,2.5476550680786687,0.9531013615733737,153.66666666666666,9.7,33.9,83.0,41.6,69.5,47.54,59.8,Common,33.9,83.0,41.6,9.7
