playerID,name,pos
yeagest01,Steve Yeager,C
dentbu01,Bucky Dent,SS
olivejo01,Joe Oliver,C
lawva01,Vance Law,3B
marshmi02,Mike Marshall,RF
wiggial01,Alan Wiggins,2B
bailobo01,Bob Bailor,SS
essiaji01,Jim Essian,C
gonzare01,Rene Gonzales,3B
hubbagl01,Glenn Hubbard,2B
reynorj01,R. J. Reynolds,RF
salazlu01,Luis Salazar,3B
gomezle02,Leo Gomez,3B
wohlfji01,Jim Wohlford,LF
bordepa01,Pat Borders,C
howelja02,Jack Howell,3B
ontivst01,Steve Ontiveros,3B
bragggl01,Glenn Braggs,LF
cottohe01,Henry Cotto,CF
bannial01,Alan Bannister,2B
howarth01,Thomas Howard,LF
francte01,Terry Francona,1B
pecotbi01,Bill Pecota,3B
petrage01,Geno Petralli,C
wilforo01,Rob Wilfong,2B
buechst01,Steve Buechele,3B
coopesc01,Scott Cooper,3B
iorgda01,Dane Iorg,LF
pettiga01,Gary Pettis,CF
heathmi02,Mike Heath,C
reynocr01,Craig Reynolds,SS
youngmi01,Mike Young,LF
dauerri01,Rich Dauer,2B
squirmi01,Mike Squires,1B
pagnoto01,Tom Pagnozzi,C
brownch02,Chris Brown,3B
larkige01,Gene Larkin,1B
vailmi01,Mike Vail,RF
candaca01,Casey Candaele,2B
dejesiv01,Ivan de Jesus,SS
duncama01,Mariano Duncan,2B
footeba01,Barry Foote,C
ceronri01,Rick Cerone,C
cubbami01,Mike Cubbage,3B
flannti01,Tim Flannery,2B
liriane01,Nelson Liriano,2B
martije01,Jerry Martin,CF
shelbjo01,John Shelby,CF
clarkje01,Jerald Clark,LF
gallada01,Dave Gallagher,CF
mosesjo01,John Moses,CF
randlle01,Lenny Randle,3B
virgioz02,Ozzie Virgil,C
brookto01,Tom Brookens,3B
youngge02,Gerald Young,CF
balbost01,Steve Balboni,1B
griffal01,Alfredo Griffin,SS
munozpe01,Pedro Munoz,RF
powelho01,Hosken Powell,RF
ripkebi01,Billy Ripken,2B
thomade01,Derrel Thomas,2B
trevial01,Alex Trevino,C
valleda01,Dave Valle,C
washiul01,U. L. Washington,SS
scottto01,Tony Scott,CF
steinbi02,Bill Stein,3B
stubbfr01,Franklin Stubbs,1B
vukovge01,George Vukovich,RF
foleyto02,Tom Foley,SS
howelro02,Roy Howell,3B
sheripa01,Pat Sheridan,RF
felixju01,Junior Felix,RF
huletti01,Tim Hulett,3B
kuipedu01,Duane Kuiper,2B
otted01,Ed Ott,C
iorgga01,Garth Iorg,3B
karkoro01,Ron Karkovice,C
snydeco02,Cory Snyder,RF
foliti01,Tim Foli,SS
officro01,Rowland Office,CF
brilegr01,Greg Briley,LF
leiussc01,Scott Leius,3B
espinal01,Alvaro Espinoza,SS
hilldo01,Donnie Hill,2B
milbola01,Larry Milbourne,2B
bradlsc01,Scott Bradley,C
hobsobu01,Butch Hobson,3B
ramirra01,Rafael Ramirez,SS
schofdi02,Dick Schofield,SS
pryorgr01,Greg Pryor,3B
anthoer01,Eric Anthony,RF
berrada01,Dale Berra,SS
elsteke01,Kevin Elster,SS
martibu01,Buck Martinez,C
ortizju01,Junior Ortiz,C
rileser01,Ernie Riles,SS
benedbr01,Bruce Benedict,C
schuri01,Rick Schu,3B
blankla01,Larvell Blanks,SS
husonje01,Jeff Huson,SS
reitzke01,Ken Reitz,3B
roberda06,Dave Roberts,3B
almonbi01,Bill Almon,SS
fitzgmi02,Mike Fitzgerald,C
lindjo01,Jose Lind,2B
fermife01,Felix Fermin,SS
scottro01,Rodney Scott,2B
benzito01,Todd Benzinger,1B
bevacku01,Kurt Bevacqua,3B
wynnema01,Marvell Wynne,CF
olsongr02,Greg Olson,C
washiro01,Ron Washington,SS
quirkja01,Jamie Quirk,C
stillku01,Kurt Stillwell,SS
tollewa01,Wayne Tolleson,SS
uribejo01,Jose Uribe,SS
leema02,Manuel Lee,SS
hillma01,Marc Hill,C
lyonsst01,Steve Lyons,3B
preslji01,Jim Presley,3B
bosetri01,Rick Bosetti,CF
winnihe01,Herm Winningham,CF
manwaki01,Kirt Manwaring,C
berryda01,Damon Berryhill,C
newmaal01,Al Newman,2B
anderda02,Dave Anderson,SS
hoffmgl01,Glenn Hoffman,SS
romered01,Ed Romero,SS
mackape01,Pete Mackanin,2B
phillmi01,Mike Phillips,SS
laudnti01,Tim Laudner,C
riverlu01,Luis Rivera,SS
wrighge03,George Wright,CF
newmaje01,Jeff Newman,C
wilkecu01,Curt Wilkerson,SS
quinore01,Rey Quinones,SS
cruzhe01,Hector Cruz,3B
flynndo01,Doug Flynn,2B
picciro01,Rob Picciolo,SS
bellira01,Rafael Belliard,SS
veryzto01,Tom Veryzer,SS
cedenan01,Andujar Cedeno,SS
melvibo01,Bob Melvin,C
jeltzst01,Steve Jeltz,SS
santara01,Rafael Santana,SS
thomaan01,Andres Thomas,SS
cruzto02,Todd Cruz,SS
mckayda01,Dave McKay,2B
lemasjo01,Johnnie LeMaster,SS
swishst01,Steve Swisher,C
speaktr01,Tris Speaker,CF
wagneho01,Honus Wagner,SS
cobbty01,Ty Cobb,CF
jacksjo01,Shoeless Joe Jackson,RF
lajoina01,Nap Lajoie,2B
sislege01,George Sisler,1B
collied01,Eddie Collins,2B
davisge01,George Davis,SS
clarkfr01,Fred Clarke,LF
crawfsa01,Sam Crawford,RF
dahlebi01,Bill Dahlen,SS
veachbo01,Bobby Veach,LF
donlimi01,Mike Donlin,CF
bakerfr01,Home Run Baker,3B
cravaga01,Gavvy Cravath,RF
mageesh01,Sherry Magee,LF
flickel01,Elmer Flick,RF
doylela01,Larry Doyle,2B
kauffbe01,Benny Kauff,CF
chancfr01,Frank Chance,1B
colliji01,Jimmy Collins,3B
stahlch01,Chick Stahl,CF
hoopeha01,Harry Hooper,RF
sheckji01,Jimmy Sheckard,LF
seymocy01,Cy Seymour,CF
barbeje01,Jesse Barber,3B
koneted01,Ed Konetchy,1B
freembu01,Buck Freeman,RF
daubeja01,Jake Daubert,1B
bresnro01,Roger Bresnahan,C
beaumgi01,Ginger Beaumont,CF
mertesa01,Sam Mertes,LF
schanwa01,Wally Schang,C
eversjo01,Johnny Evers,2B
walketi01,Tillie Walker,LF
zimmehe01,Heinie Zimmerman,3B
gradymi01,Mike Grady,C
burnsge01,George Burns,LF
grohhe01,Heinie Groh,3B
stengca01,Casey Stengel,RF
prattde01,Del Pratt,2B
seyboso01,Socks Seybold,RF
williji01,Jimmy Williams,2B
leachto01,Tommy Leach,CF
anderjo01,John Anderson,1B
zwilldu01,Dutch Zwilling,CF
connojo04,Joe Connolly,LF
gardnla01,Larry Gardner,3B
pippwa01,Wally Pipp,1B
mcganda01,Dan McGann,1B
felscha01,Happy Felsch,CF
murphda02,Danny Murphy,2B
thomaro01,Roy Thomas,CF
tinkejo01,Joe Tinker,SS
wallabo01,Bobby Wallace,SS
peckiro01,Roger Peckinpaugh,SS
strunam01,Amos Strunk,CF
hartsto01,Topsy Hartsel,LF
mcfared01,Ed McFarland,C
hickmch01,Charlie Hickman,1B
milancl01,Clyde Milan,CF
oneilst01,Steve O'Neill,C
schulfr01,Frank Schulte,RF
woodjo02,Smoky Joe Wood,RF
bradlbi01,Bill Bradley,3B
heidrem01,Emmet Heidrick,CF
meyerch01,Jack Meyers,C
mcinnst01,Stuffy McInnis,1B
davisha01,Harry Davis,1B
fletcar01,Art Fletcher,SS
klingjo01,Johnny Kling,C
rothbr01,Braggo Roth,RF
tennefr02,Fred Tenney,1B
chaseha01,Hal Chase,1B
campbvi01,Vin Campbell,CF
flackma01,Max Flack,RF
luderfr01,Fred Luderus,1B
chapmra01,Ray Chapman,SS
griffto01,Tommy Griffith,RF
stockmi01,Milt Stock,3B
cooledu01,Duff Cooley,LF
merklfr01,Fred Merkle,1B
saiervi01,Vic Saier,1B
titusjo01,John Titus,RF
lennoed01,Ed Lennox,3B
creebi01,Birdie Cree,LF
ritchcl01,Claude Ritchey,2B
hoblidi01,Dick Hoblitzell,1B
